,age,let-introduced,lettice,church-introduced,spelling-relief,friends-introduced,perry,parents,status,month,jerome,spelling,english,barrons,world,latin-study,hairdresser,barron-crisis,housework,poverty,child-led,projects,assessments,motivation,william,tyler,highest-win,previous-missed,dinner,newslettering,pedagogue,gerbil-studied,doll,visiting,sara,lessons,birthdaying,lettice-monster,bookstore,topeng-defined,barrons-card,greekletters,threats-useless,epilogued,minestrone,photosynthesis,william-intervention,warned,cyan,hyalithe,psitta,not-talking,materials-studied,copy-error,cosmetics-studied,wednesday-done,lectern,art-words,isgreek,isindonesian,isspanish,ishungarian,genius,jerome-texted,hawaiian,format-change,collage-ready,coupons-offered
019_data.txt,11.0,1.0,-8.0,1.0,12.0,1.0,4.0,1.0,14.0,27.0,5.0,57.0,4.0,4.0,4.0,2.0,50.0,2.0,,6.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,,0.0,0.0,0.0,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,1.0,,,
080_data.txt,10.0,1.0,11.0,1.0,9.0,1.0,1.0,3.0,8.0,26.0,3.0,26.0,4.0,4.0,6.0,2.0,50.0,3.0,1.0,6.0,2.0,,,1.0,1.0,,1.0,1.0,1.0,-1.0,1.0,1.0,,,2.0,,,,,,,,1.0,1.0,,,1.0,,0.0,0.0,0.0,,,1.0,,2.0,1.0,,,,,,,,,,,
067_data.txt,11.0,1.0,-1.0,1.0,10.0,1.0,3.0,2.0,5.0,27.0,5.0,43.0,4.0,6.0,4.0,1.0,45.0,3.0,1.0,7.0,2.0,,,1.0,1.0,1.0,4.0,2.0,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,2.0,1.0,1.0,3.0,,1.0,,,,1.0,,,
049_data.txt,12.0,1.0,3.0,1.0,17.0,1.0,2.0,-3.0,4.0,29.0,4.0,49.0,4.0,9.0,4.0,1.0,45.0,3.0,1.0,13.0,2.0,,,2.0,1.0,1.0,3.0,2.0,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,2.0,,2.0,,,,1.0,,,,,,
099_data.txt,9.0,1.0,0.0,1.0,8.0,1.0,1.0,2.0,5.0,29.0,2.0,21.0,4.0,2.0,1.0,1.0,,1.0,,14.0,2.0,,,0.0,,,1.0,2.0,1.0,3.0,1.0,,1.0,,2.0,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,
043_data.txt,11.0,1.0,-2.0,1.0,7.0,1.0,5.0,-1.0,6.0,27.0,7.0,63.0,4.0,3.0,4.0,2.0,,1.0,1.0,4.0,2.0,,,0.0,,,4.0,2.0,1.0,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,1.0,,1.0,2.0,,1.0,,,1.0,3.0,,1.0,1.0,3.0,,
076_data.txt,11.0,1.0,-4.0,1.0,14.0,1.0,2.0,0.0,8.0,29.0,4.0,38.0,4.0,7.0,4.0,2.0,50.0,3.0,1.0,12.0,2.0,,,2.0,1.0,1.0,3.0,2.0,1.0,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,,1.0,2.0,,,,,,,,,
086_data.txt,9.0,1.0,0.0,1.0,10.0,1.0,2.0,11.0,7.0,30.0,1.0,19.0,3.0,2.0,4.0,1.0,,1.0,1.0,4.0,,,,2.0,1.0,,1.0,2.0,1.0,2.0,,,1.0,,1.0,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,2.0,,,,,,,,,
068_data.txt,10.0,1.0,-3.0,1.0,12.0,1.0,2.0,11.0,6.0,30.0,5.0,34.0,1.0,3.0,1.0,2.0,,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,,,,,1.0,,,,,,1.0,,1.0,1.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,,4.0,,,,,,,,,
056_data.txt,10.0,1.0,0.0,1.0,8.0,1.0,4.0,0.0,3.0,27.0,3.0,47.0,4.0,1.0,4.0,2.0,,1.0,,5.0,2.0,1.0,1.0,1.0,,,4.0,1.0,1.0,2.0,,1.0,1.0,,3.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,1.0,,4.0,,1.0,1.0,,1.0,,,
