,Church,Lettice,The Co-op,Spelling Practice,The Homeschooling Newsletter,Seeking Inspiration,Sunday Afternoon,The House of Mildew,Arabic Loan Words,The Legend of Public School,J E R O M E,That Question,Dinner Service,Advent,Ironing,Previously Missed Words,Greek Root Studies,Handwashing,Lettice's Aquarium,Consultation,Lent,French Art Words,Middle School English,At the Copy Shop,The Family with All the Stuff,Year-end Competition,Performance Practice,Afrikaans Loan Words,Invitation to the Salon,Lessons from Sara,Co-op Dues,Snow Shoveling,Mirrors,Clipping Coupons,Mrs. Perry Gossips,Reflections,Ash Wednesday,Exercises in Reading Between the Lines,Mother and the Haircut,Moodiness,Pentecost,Return to the House of Mildew,German Loan Words,Latin Root Studies,Choosing the Year's Curriculum,Halloween,Hawaiian Loan Words,Mrs. Barron Commands,Mr. Barron Intervenes,Birthday Candles,Heard Rather Than Seen,Overheard,Crisis,Jam,Mother's Temporary Work,Epilogue,Church Jumble Sale,Daydream of Winning,Easter,Proofreading,It's All Happening At the Zoo,Contributions to Father's Newsletter,The Doll,Lessons for Lettice,Bowing Out of the Newsletter,Additional Performance Practice,At the Bookstore,Dinner for Tyler Barron,Lawn Mowing,A Confrontation About Practice,Worldly Cinema,Classes at the Co-op,Was It This Way For the Desert Fathers?,Isolation,Italian Loan Words,Sibling Rivalry,Minding Lettice,Lettice Revolts,Aboriginal Loan Words,Snow Day,A Call to Arms,The State Fair,That Other Question,Orange and Purple Christmas,Zulu Loan Words,Discipline,Running Away
056,1.0,1.0,1.0,1.0,1.0,,4.0,1.0,4.0,2.0,2.0,1.0,1.0,,,,,3.0,1.0,,3.0,1.0,1.0,1.0,1.0,3.0,,2.0,1.0,,,3.0,,1.0,1.0,,2.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,,2.0,,1.0,,,,,,,1.0,,,,,,1.0,,,,9.0,17.0,,,,,,1.0,,,,,,,
088,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,,1.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,2.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,2.0,,,,,,,2.0,1.0,1.0,,1.0,,,1.0,,,,
072,1.0,1.0,1.0,1.0,,,,1.0,3.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,2.0,,1.0,,,1.0,,1.0,,1.0,,2.0,,2.0,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,9.0,4.0,1.0,1.0,,,,1.0,,,,
087,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,1.0,,1.0,1.0,,,1.0,2.0,,1.0,,,,,,,,,,,,,4.0,5.0,1.0,,,,,,,,,
058,1.0,1.0,1.0,2.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,,2.0,,1.0,,,1.0,,,,1.0,,,,1.0,,,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,,,,2.0,8.0,1.0,,,,1.0,,,,,
000,1.0,1.0,1.0,1.0,,,1.0,1.0,,3.0,1.0,2.0,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,5.0,4.0,1.0,,1.0,,,,,,,
007,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,,,,1.0,,2.0,1.0,,1.0,2.0,,1.0,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,,3.0,2.0,,1.0,,1.0,,,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,3.0,1.0,1.0,,,,,,,,
005,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,,2.0,1.0,3.0,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,2.0,1.0,,,,,,,,,
077,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,,2.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,5.0,,2.0,1.0,,,1.0,1.0,,,1.0,3.0,,1.0,1.0,1.0,,4.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,2.0,1.0,,1.0,,1.0,,1.0,,2.0,,1.0,,25.0,20.0,,,,,,3.0,,,,,,,
079,1.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,2.0,,1.0,1.0,3.0,,2.0,,,,,,1.0,1.0,,1.0,,,,1.0,1.0,,2.0,1.0,1.0,,1.0,1.0,,,,,2.0,,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,9.0,7.0,,,,,,3.0,,,1.0,,,,
062,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,,3.0,,1.0,6.0,2.0,1.0,,1.0,5.0,,,,1.0,,,,1.0,1.0,,1.0,1.0,,2.0,2.0,,,,2.0,1.0,1.0,1.0,1.0,,,,,3.0,,1.0,,,2.0,1.0,2.0,1.0,1.0,,1.0,,,1.0,,,,,29.0,36.0,1.0,2.0,3.0,1.0,,,,1.0,,,,,
021,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,,1.0,2.0,1.0,2.0,1.0,,1.0,,5.0,1.0,1.0,,1.0,5.0,,,1.0,1.0,,3.0,1.0,1.0,,,1.0,1.0,,5.0,2.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,3.0,,1.0,,1.0,2.0,,1.0,3.0,,,,,,1.0,2.0,1.0,1.0,,39.0,39.0,,,,,1.0,2.0,2.0,,,,,,1.0
