,Church,Lettice,The Co-op,Spelling Practice,The Homeschooling Newsletter,Seeking Inspiration,Sunday Afternoon,The House of Mildew,Arabic Loan Words,The Legend of Public School,J E R O M E,That Question,Dinner Service,Advent,Ironing,Previously Missed Words,Greek Root Studies,Handwashing,Lettice's Aquarium,Consultation,Lent,French Art Words,Middle School English,At the Copy Shop,The Family with All the Stuff,Year-end Competition,Performance Practice,Afrikaans Loan Words,Invitation to the Salon,Lessons from Sara,Co-op Dues,Snow Shoveling,Mirrors,Clipping Coupons,Mrs. Perry Gossips,Reflections,Ash Wednesday,Exercises in Reading Between the Lines,Mother and the Haircut,Moodiness,Pentecost,Return to the House of Mildew,German Loan Words,Latin Root Studies,Choosing the Year's Curriculum,Halloween,Hawaiian Loan Words,Mrs. Barron Commands,Mr. Barron Intervenes,Birthday Candles,Heard Rather Than Seen,Overheard,Crisis,Jam,Mother's Temporary Work,Epilogue,Church Jumble Sale,Daydream of Winning,Easter,Proofreading,It's All Happening At the Zoo,Contributions to Father's Newsletter,The Doll,Lessons for Lettice,Bowing Out of the Newsletter,Additional Performance Practice,At the Bookstore,Dinner for Tyler Barron,Lawn Mowing,A Confrontation About Practice,Worldly Cinema,Classes at the Co-op,Was It This Way For the Desert Fathers?,Isolation,Italian Loan Words,Sibling Rivalry,Minding Lettice,Lettice Revolts,Aboriginal Loan Words,Snow Day,A Call to Arms,The State Fair,That Other Question,Orange and Purple Christmas,Zulu Loan Words,Discipline,Running Away
050,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,7.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,,,1.0,5.0,1.0,1.0,1.0,1.0,3.0,,3.0,,1.0,2.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,6.0,2.0,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
083,1.0,1.0,1.0,2.0,1.0,,4.0,1.0,3.0,4.0,2.0,2.0,1.0,2.0,,2.0,1.0,1.0,,1.0,6.0,2.0,1.0,,1.0,6.0,,1.0,,1.0,,2.0,,5.0,1.0,,3.0,1.0,,5.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,4.0,,1.0,1.0,,1.0,3.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,3.0,36.0,29.0,2.0,2.0,1.0,1.0,,,,,,,,,
076,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,4.0,2.0,1.0,1.0,,2.0,,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,,1.0,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,3.0,1.0,,2.0,1.0,1.0,1.0,,1.0,4.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,1.0,1.0,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,
055,1.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,,2.0,1.0,4.0,,1.0,3.0,2.0,1.0,1.0,1.0,4.0,,3.0,,1.0,,1.0,,4.0,1.0,,1.0,1.0,,5.0,1.0,1.0,,2.0,1.0,2.0,,1.0,1.0,1.0,,,,2.0,,1.0,,,2.0,1.0,2.0,,1.0,1.0,1.0,,1.0,,1.0,,,,3.0,10.0,,3.0,2.0,1.0,2.0,4.0,2.0,1.0,,,,,
093,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,,1.0,3.0,1.0,,3.0,,2.0,3.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,,2.0,1.0,,,,,1.0,2.0,,1.0,,1.0,1.0,,,4.0,,2.0,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,
082,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,,,2.0,2.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,2.0,9.0,1.0,,,,,,,,,
092,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,,,,,,,,,
008,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,,,1.0,,,,,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,,,,1.0,,2.0,,,1.0,,,1.0,1.0,,1.0,,,1.0,,,,,,4.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
073,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,,1.0,1.0,2.0,1.0,2.0,1.0,,,,7.0,4.0,1.0,1.0,1.0,4.0,,,,1.0,,,,,1.0,,3.0,1.0,,4.0,,,,,,1.0,,1.0,1.0,,,,,2.0,,1.0,,,2.0,,1.0,,,,,,,1.0,2.0,,3.0,,15.0,22.0,,,,,,1.0,,,,,,,
095,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,4.0,,1.0,1.0,,,2.0,,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,,,,4.0,1.0,,1.0,1.0,,,,,1.0,2.0,1.0,1.0,,1.0,,,1.0,,1.0,2.0,,1.0,,,,,1.0,,,1.0,,,,,1.0,,,,3.0,3.0,,2.0,2.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,
042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,4.0,2.0,5.0,1.0,,3.0,1.0,2.0,,,1.0,2.0,,1.0,1.0,1.0,2.0,,1.0,,1.0,,2.0,,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,4.0,2.0,1.0,,3.0,,1.0,,,,,
060,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,1.0,,,3.0,,1.0,,1.0,2.0,,3.0,1.0,,,,1.0,2.0,1.0,,,,,,1.0,,1.0,2.0,,,,1.0,,,,,,1.0,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,3.0,6.0,1.0,1.0,,,,,,,,
016,1.0,1.0,1.0,2.0,1.0,,4.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,,2.0,1.0,3.0,,1.0,8.0,,1.0,,1.0,10.0,,3.0,,1.0,1.0,2.0,,3.0,1.0,,5.0,1.0,,12.0,2.0,1.0,,1.0,2.0,7.0,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,1.0,,1.0,6.0,2.0,5.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,63.0,64.0,1.0,,,,2.0,3.0,,1.0,,1.0,,1.0,
085,1.0,1.0,1.0,2.0,,,2.0,1.0,,2.0,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,1.0,,1.0,3.0,,,1.0,1.0,,1.0,1.0,2.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,2.0,,1.0,1.0,,,,,2.0,,1.0,,2.0,,,1.0,,,,,,,,,,1.0,,11.0,17.0,,2.0,4.0,1.0,1.0,,,,,,,,
029,1.0,1.0,1.0,2.0,1.0,1.0,10.0,1.0,8.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,,1.0,,1.0,1.0,2.0,,2.0,1.0,,1.0,1.0,,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,2.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,2.0,,2.0,2.0,2.0,,,,1.0,,,,1.0,,2.0,,
032,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,,,3.0,1.0,3.0,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,2.0,,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,2.0,,1.0,,,,,1.0,,1.0,,,,,1.0,3.0,1.0,,,13.0,16.0,,2.0,2.0,1.0,1.0,,1.0,,,,,,
013,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,3.0,1.0,2.0,,1.0,2.0,3.0,2.0,1.0,,1.0,1.0,3.0,2.0,1.0,,1.0,3.0,,3.0,,1.0,,1.0,,1.0,1.0,,3.0,1.0,,,1.0,,3.0,2.0,,2.0,1.0,1.0,,,,,,2.0,,1.0,,,2.0,1.0,1.0,3.0,1.0,,2.0,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,
019,1.0,1.0,1.0,,1.0,,4.0,1.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,6.0,4.0,1.0,,1.0,3.0,,3.0,1.0,1.0,2.0,,,4.0,1.0,,1.0,1.0,,1.0,,,3.0,2.0,,2.0,,1.0,1.0,1.0,,2.0,,,1.0,1.0,,,1.0,1.0,3.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,2.0,,,,,3.0,,,1.0,1.0,,,,
081,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,2.0,4.0,2.0,4.0,1.0,1.0,,1.0,2.0,2.0,2.0,,2.0,,1.0,1.0,1.0,2.0,,,1.0,1.0,,2.0,,3.0,,,,1.0,,,1.0,,1.0,2.0,,,,1.0,1.0,,,,,2.0,,1.0,,,,,,,1.0,,,,,,,1.0,,,1.0,1.0,,4.0,1.0,1.0,,,,,,,1.0,,
024,1.0,1.0,1.0,2.0,1.0,,5.0,1.0,6.0,2.0,2.0,3.0,1.0,,2.0,2.0,1.0,4.0,2.0,1.0,7.0,2.0,1.0,,1.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,,,2.0,1.0,,1.0,2.0,1.0,2.0,2.0,,2.0,,1.0,1.0,1.0,,8.0,,2.0,1.0,1.0,,1.0,1.0,3.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,1.0,1.0,,,,,,
057,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,,,3.0,1.0,2.0,2.0,2.0,1.0,1.0,,,11.0,2.0,1.0,,1.0,8.0,,1.0,1.0,1.0,2.0,3.0,1.0,2.0,,1.0,2.0,1.0,1.0,3.0,1.0,,,1.0,3.0,3.0,,,1.0,,,,,4.0,,1.0,,1.0,3.0,,1.0,,,1.0,,,1.0,,,,3.0,,61.0,51.0,,,,,,,,,,,1.0,1.0,
034,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,,2.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,
048,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,4.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,,3.0,,1.0,,,,3.0,1.0,,4.0,1.0,,2.0,2.0,1.0,3.0,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,2.0,,2.0,,1.0,1.0,,,1.0,,1.0,,,,15.0,24.0,,,,,,1.0,1.0,2.0,,,,,
049,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,11.0,2.0,2.0,1.0,1.0,,2.0,2.0,2.0,3.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,,3.0,1.0,1.0,4.0,2.0,,4.0,1.0,,1.0,1.0,,2.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,3.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,
059,1.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,5.0,2.0,1.0,2.0,1.0,4.0,4.0,2.0,1.0,,,1.0,12.0,3.0,1.0,1.0,1.0,7.0,,2.0,,1.0,,1.0,,3.0,1.0,,1.0,1.0,,7.0,1.0,1.0,5.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,,,3.0,,,,1.0,1.0,,,,1.0,2.0,,,1.0,43.0,41.0,1.0,,,,,2.0,1.0,1.0,,1.0,1.0,1.0,
063,1.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,7.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,,1.0,4.0,4.0,1.0,1.0,1.0,4.0,,3.0,1.0,1.0,,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,5.0,2.0,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,4.0,,1.0,,2.0,,,,,,3.0,1.0,2.0,,,,2.0,,
039,1.0,1.0,1.0,2.0,1.0,3.0,8.0,1.0,6.0,,2.0,2.0,1.0,,1.0,2.0,3.0,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,3.0,,,1.0,1.0,,2.0,1.0,3.0,1.0,,2.0,1.0,,,1.0,1.0,4.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,2.0,2.0,4.0,,,1.0,,,
089,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,1.0,,1.0,,2.0,,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,1.0,,,1.0,,,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,2.0,1.0
064,1.0,1.0,1.0,2.0,,,3.0,1.0,,3.0,,1.0,1.0,1.0,,2.0,,,,,3.0,,1.0,,,3.0,,2.0,,,,,,,,,,,,1.0,1.0,,,2.0,1.0,,,,,,,,,1.0,,1.0,,1.0,1.0,,2.0,,,,,,,,1.0,,2.0,,20.0,18.0,,,,,1.0,,,,,,,,
028,1.0,1.0,1.0,1.0,1.0,,4.0,1.0,1.0,2.0,,2.0,1.0,1.0,2.0,1.0,,,,,4.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,,1.0,,,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,2.0,1.0,,2.0,3.0,1.0,,2.0,,,,,,,
065,1.0,1.0,1.0,2.0,,1.0,4.0,1.0,1.0,3.0,1.0,2.0,,1.0,,2.0,1.0,2.0,2.0,1.0,2.0,,1.0,,1.0,3.0,,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,,,,,3.0,2.0,,,,1.0,,,1.0,3.0,1.0,2.0,1.0,1.0,,,1.0,,,,1.0,,,,1.0,1.0,2.0,,3.0,,6.0,6.0,,,,,2.0,,,1.0,,,,,
052,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,,,,1.0,,,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,3.0,3.0,1.0,,1.0,,1.0,,,,,
041,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,5.0,2.0,2.0,1.0,,2.0,2.0,3.0,,,1.0,3.0,,1.0,1.0,,2.0,,,,1.0,,,,3.0,,,,,,,1.0,,,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,1.0,,2.0,,1.0,,,,,,2.0,,,,1.0,3.0,,,,,,1.0,,1.0,1.0,,,,
003,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,,1.0,2.0,4.0,1.0,1.0,1.0,4.0,,1.0,,1.0,,1.0,,,1.0,,3.0,1.0,,3.0,,,,,1.0,2.0,1.0,1.0,1.0,,,5.0,,1.0,1.0,1.0,,,1.0,,2.0,,1.0,,,,,1.0,3.0,,,,24.0,25.0,1.0,,,,,,,1.0,,1.0,,,
086,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,7.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,2.0,1.0,6.0,,1.0,1.0,1.0,5.0,1.0,3.0,,1.0,,,,4.0,1.0,,2.0,1.0,,1.0,2.0,1.0,4.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,2.0,,1.0,,1.0,1.0,,2.0,,,1.0,,,1.0,,1.0,,,1.0,15.0,14.0,,,,,2.0,3.0,,1.0,,,1.0,,
012,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,,3.0,1.0,,1.0,2.0,5.0,1.0,,,6.0,4.0,1.0,1.0,1.0,5.0,,3.0,1.0,1.0,,1.0,,,,,1.0,,,4.0,2.0,,3.0,1.0,1.0,2.0,,1.0,1.0,,,3.0,,2.0,1.0,1.0,,,1.0,,3.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,23.0,23.0,,,,,,1.0,,,,,,1.0,
017,1.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,,2.0,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,,,1.0,2.0,,1.0,2.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,1.0,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,9.0,9.0,1.0,,,,,,1.0,,,,2.0,,
014,1.0,1.0,1.0,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,5.0,2.0,1.0,,,,,,,,,
084,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,,2.0,3.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,4.0,,1.0,1.0,1.0,,1.0,1.0,,,,3.0,1.0,,,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,3.0,,1.0,1.0,,,1.0,1.0,1.0,,,,8.0,21.0,,,,,1.0,,1.0,,,,1.0,,
047,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,
020,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,6.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,,,1.0,1.0,2.0,,2.0,,1.0,,1.0,1.0,,1.0,2.0,,1.0,,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,1.0,,1.0,,2.0,,2.0,,
011,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,6.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,,2.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,6.0,,1.0,,1.0,,1.0,,3.0,1.0,,2.0,1.0,,3.0,2.0,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,2.0,,1.0,,2.0,2.0,,3.0,,1.0,,,,1.0,,,,2.0,,36.0,24.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,
035,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,,3.0,1.0,1.0,,,2.0,,,,5.0,,1.0,,1.0,3.0,,2.0,1.0,,,1.0,1.0,,,1.0,2.0,,,1.0,,,2.0,1.0,,,,1.0,1.0,,,,,2.0,,1.0,,,,,2.0,,,1.0,,1.0,,,,1.0,1.0,1.0,12.0,17.0,,2.0,4.0,1.0,,,,,,,,,
071,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,,1.0,1.0,1.0,,1.0,1.0,,,,2.0,,1.0,1.0,1.0,2.0,,2.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,,2.0,,1.0,1.0,,1.0,1.0,,,,,,,1.0,,1.0,,,1.0,1.0,2.0,1.0,,,,,,,2.0,,1.0,,,,,2.0,1.0,1.0,,1.0,1.0,,,,2.0,,
010,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,,,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,1.0,6.0,1.0,,,,,,,,,
066,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,,2.0,2.0,1.0,5.0,4.0,2.0,2.0,2.0,3.0,1.0,6.0,2.0,1.0,1.0,1.0,8.0,,,,1.0,1.0,2.0,,1.0,1.0,,3.0,1.0,,7.0,1.0,1.0,2.0,,1.0,2.0,,1.0,1.0,1.0,,,,3.0,,1.0,,,3.0,,,,1.0,1.0,,,1.0,1.0,2.0,,,,51.0,53.0,2.0,,,,,,,1.0,1.0,,,2.0,
096,1.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,5.0,2.0,1.0,2.0,1.0,,1.0,2.0,1.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,2.0,1.0,,,2.0,,2.0,2.0,1.0,2.0,1.0,1.0,,,1.0,,1.0,2.0,,1.0,,,2.0,,1.0,,1.0,1.0,,,1.0,1.0,2.0,,3.0,,8.0,5.0,,,,,4.0,1.0,1.0,,,,1.0,,
025,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,3.0,7.0,1.0,,1.0,,1.0,2.0,2.0,2.0,,1.0,1.0,1.0,1.0,,1.0,2.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,,,1.0,2.0,,2.0,,1.0,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,2.0,,,1.0,1.0,4.0,3.0,1.0,,,,,,,1.0,,
091,1.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,6.0,1.0,2.0,,1.0,,2.0,2.0,1.0,5.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,7.0,,3.0,,1.0,1.0,2.0,,2.0,1.0,,3.0,1.0,,4.0,3.0,1.0,1.0,2.0,,3.0,1.0,1.0,1.0,1.0,,,,2.0,,1.0,1.0,1.0,2.0,,2.0,,1.0,1.0,,,1.0,,2.0,,,,43.0,35.0,1.0,,,,,2.0,,,,,,1.0,
097,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,3.0,1.0,,1.0,,,,,,,
036,1.0,1.0,1.0,2.0,1.0,,4.0,1.0,3.0,,2.0,,1.0,2.0,4.0,2.0,1.0,,,1.0,,2.0,1.0,,1.0,4.0,,1.0,,1.0,,4.0,,1.0,1.0,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,2.0,2.0,,2.0,,1.0,,,,,,,,,,22.0,16.0,1.0,,,,1.0,,1.0,1.0,,,,2.0,
053,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,3.0,,2.0,1.0,1.0,,1.0,5.0,2.0,1.0,1.0,1.0,6.0,,1.0,,1.0,,1.0,,1.0,1.0,,6.0,1.0,,7.0,,1.0,,2.0,,4.0,,1.0,1.0,,,1.0,,3.0,1.0,1.0,,,3.0,,2.0,,1.0,1.0,,,1.0,,,1.0,,,34.0,47.0,,,,,,,,,,,,,
061,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,,2.0,1.0,2.0,,,,,2.0,1.0,,1.0,4.0,,1.0,1.0,1.0,4.0,,,,1.0,,,,,,,2.0,,,4.0,1.0,,,,1.0,2.0,,,1.0,,,,,2.0,,1.0,,,1.0,,3.0,,,,,,1.0,,2.0,1.0,,1.0,31.0,26.0,,2.0,1.0,1.0,,,,,,,,,
040,1.0,1.0,1.0,1.0,1.0,,4.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,2.0,,1.0,1.0,1.0,1.0,,3.0,,1.0,1.0,2.0,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,2.0,,1.0,1.0,1.0,,,1.0,,1.0,2.0,,,1.0,,,,,,1.0,,,1.0,,,,,,1.0,1.0,,1.0,,,,
030,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,,1.0,8.0,1.0,1.0,,1.0,7.0,,2.0,,1.0,,,,2.0,1.0,,1.0,,,7.0,2.0,1.0,,2.0,2.0,4.0,,,1.0,1.0,,,,2.0,,1.0,,,3.0,,1.0,,1.0,1.0,,,,1.0,,,,,49.0,44.0,,,,,,,1.0,1.0,1.0,,,1.0,
015,1.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,3.0,,2.0,3.0,1.0,1.0,3.0,2.0,3.0,,3.0,1.0,7.0,2.0,1.0,1.0,1.0,4.0,,3.0,,1.0,,2.0,,1.0,1.0,,,1.0,,,2.0,1.0,6.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,2.0,,1.0,,1.0,1.0,,,1.0,1.0,2.0,,,,,1.0,2.0,,,,1.0,6.0,,,,,1.0,,
