,Lettice,Church,The Co-op,The Legend of Public School,Lettice's Aquarium,Spelling Practice,Daydream of Winning,Greek Root Studies,The Homeschooling Newsletter,Discipline,The Family with All the Stuff,Mr. Barron Intervenes,Moodiness,Running Away,Epilogue,Seeking Inspiration,Jam,The State Fair,Dinner Service,Sunday Afternoon,Clipping Coupons,Afrikaans Loan Words,Mrs. Barron Commands,Middle School English,Invitation to the Salon,Arabic Loan Words,Performance Practice,Mirrors,Reflections,Lent,Lessons from Sara,Easter,Isolation,Pentecost,A Confrontation About Practice,Year-end Competition,French Art Words,At the Copy Shop,Ironing,Dinner for Tyler Barron,Co-op Dues,That Other Question,German Loan Words,Overheard,Mother's Temporary Work,That Question,Was It This Way For the Desert Fathers?,Advent,Joining the Circus,The Doll,Halloween,Contributions to Father's Newsletter,Ash Wednesday,A Call to Arms,Hawaiian Loan Words,Heard Rather Than Seen,Crisis,Bowing Out of the Newsletter,Latin Root Studies,Classes at the Co-op,Italian Loan Words,Mother and the Haircut,Zulu Loan Words,Previously Missed Words,Exercises in Reading Between the Lines,Aboriginal Loan Words,Lessons for Lettice,Handwashing,The House of Mildew,Snow Shoveling,Additional Performance Practice,It's All Happening At the Zoo,Snow Day,Worldly Cinema,J E R O M E,Return to the House of Mildew,Birthday Candles,Church Jumble Sale,Mrs. Perry Gossips,Consultation,At the Bookstore,Lawn Mowing,Sibling Rivalry,Orange and Purple Christmas,Choosing the Year's Curriculum,Proofreading,Minding Lettice,Lettice Revolts
071,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,3.0,,3.0,2.0,1.0,1.0,3.0,,,2.0,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,2.0,,3.0,1.0,1.0,1.0,1.0,,3.0,1.0,,,,1.0,,1.0,,3.0,1.0,,,3.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,2.0,,,,
010,1.0,1.0,1.0,3.0,1.0,2.0,,1.0,1.0,,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,6.0,,1.0,1.0,2.0,,1.0,4.0,1.0,,3.0,1.0,1.0,,1.0,,1.0,,,,1.0,2.0,1.0,,1.0,1.0,,2.0,,,1.0,1.0,,2.0,,,1.0,1.0,1.0,,2.0,1.0,2.0,1.0,,,1.0,2.0,4.0,1.0,,,,,,1.0,1.0,,,,,,
066,1.0,1.0,1.0,3.0,3.0,1.0,,1.0,1.0,2.0,1.0,1.0,6.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,3.0,4.0,1.0,,,,,2.0,,,1.0,,1.0,,1.0,2.0,,1.0,,,,,,3.0,1.0,2.0,,2.0,2.0,,1.0,1.0,2.0,1.0,2.0,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,,
096,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,2.0,1.0,,,4.0,1.0,1.0,,2.0,,3.0,2.0,1.0,1.0,1.0,,2.0,3.0,,,,1.0,1.0,,1.0,1.0,2.0,2.0,,1.0,,,1.0,1.0,,3.0,,3.0,2.0,1.0,3.0,,1.0,1.0,,,2.0,1.0,,2.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,
025,1.0,1.0,1.0,4.0,,2.0,,3.0,1.0,,1.0,,,,1.0,1.0,,,1.0,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,1.0,2.0,,1.0,5.0,1.0,1.0,1.0,,,,1.0,,1.0,,,1.0,1.0,,,,1.0,1.0,,1.0,,,1.0,,1.0,,,2.0,,,2.0,,,,,1.0,,,,,,,,
091,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,,1.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,4.0,1.0,,,,,,2.0,,,1.0,1.0,,2.0,,,,1.0,,,1.0,2.0,,1.0,1.0,,,,,,,,,2.0,,,,,2.0,,1.0,,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,
097,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,2.0,1.0,1.0,3.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,,3.0,1.0,1.0,1.0,1.0,,1.0,3.0,,,1.0,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,,1.0,,2.0,1.0,1.0,1.0,1.0,,1.0,,,2.0,,,2.0,,,,,,1.0,1.0,2.0,,,1.0,3.0,
036,1.0,1.0,1.0,5.0,1.0,2.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,8.0,1.0,,,4.0,,1.0,1.0,2.0,,3.0,2.0,,,,1.0,1.0,2.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,4.0,,2.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,
053,1.0,1.0,1.0,2.0,,1.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,3.0,,1.0,1.0,2.0,,,,,1.0,,,,,3.0,,,,1.0,,,,,,,,,,,,1.0,2.0,,,,1.0,1.0,,,1.0,,,2.0,,,,1.0,1.0,,,,,,,,
061,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,4.0,1.0,1.0,,3.0,1.0,,1.0,2.0,,3.0,2.0,1.0,1.0,1.0,,3.0,3.0,,,,,1.0,,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,,2.0,,2.0,,,2.0,,3.0,1.0,2.0,1.0,2.0,,2.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,
040,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,3.0,1.0,,,4.0,1.0,,2.0,,,1.0,1.0,1.0,1.0,,,1.0,2.0,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,,1.0,,,,1.0,,2.0,,,,,,,2.0,6.0,,,1.0,1.0,1.0
030,1.0,1.0,1.0,3.0,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,2.0,,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,2.0,,2.0,1.0,1.0,3.0,,,,1.0,,,,1.0,1.0,,,1.0,,2.0,,1.0,,,,1.0,,2.0,1.0,,2.0,,,,1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,,1.0,1.0,,,,,1.0,,,
015,1.0,1.0,1.0,3.0,3.0,2.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,2.0,3.0,1.0,1.0,1.0,7.0,3.0,,,3.0,1.0,2.0,,2.0,,3.0,3.0,,4.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,2.0,,1.0,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,
094,1.0,1.0,1.0,2.0,,1.0,,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0,,2.0,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,,1.0,1.0,,,3.0,1.0,,,1.0,2.0,1.0,,,,,1.0,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,
054,1.0,1.0,1.0,,,2.0,,,,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
031,1.0,1.0,1.0,,,2.0,,,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,1.0,,1.0,1.0,2.0,,,1.0,2.0,,1.0,3.0,1.0,,1.0,,3.0,1.0,1.0,,1.0,,1.0,3.0,1.0,2.0,,1.0,1.0,1.0,,1.0,1.0,4.0,,,2.0,1.0,2.0,,,1.0,2.0,,1.0,1.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,
001,1.0,1.0,1.0,,,2.0,,1.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,5.0,,1.0,1.0,2.0,1.0,1.0,4.0,,,2.0,1.0,,,,,,,,,1.0,7.0,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,1.0,2.0,2.0,,,,1.0,1.0,,,2.0,,2.0,2.0,,,,,1.0,,,,,1.0,,,
018,1.0,1.0,1.0,,,2.0,,2.0,1.0,,1.0,1.0,2.0,,1.0,1.0,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,,2.0,,,,1.0,2.0,1.0,,1.0,1.0,2.0,3.0,,1.0,,,1.0,1.0,,,1.0,,2.0,1.0,,1.0,2.0,1.0,1.0,,1.0,1.0,4.0,,,,,,,1.0,2.0,,,,,,
074,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,,,,2.0,1.0,1.0,4.0,1.0,,3.0,3.0,1.0,2.0,,,1.0,3.0,,,1.0,1.0,1.0,,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,,3.0,1.0,1.0,,2.0,2.0,1.0,2.0,,,1.0,,1.0,2.0,1.0,,2.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,
045,1.0,1.0,1.0,4.0,3.0,2.0,,1.0,1.0,,1.0,,,,1.0,3.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,7.0,,,,3.0,1.0,1.0,,,,3.0,1.0,,2.0,,1.0,,,,,,1.0,1.0,,1.0,1.0,,1.0,2.0,1.0,,,1.0,,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,3.0,,
098,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,,1.0,1.0,4.0,,1.0,2.0,,,1.0,,2.0,,,1.0,1.0,3.0,3.0,1.0,,5.0,1.0,1.0,3.0,2.0,,3.0,4.0,,1.0,1.0,,2.0,1.0,,,,,2.0,,1.0,,2.0,,,1.0,,,1.0,3.0,,1.0,,1.0,,,2.0,1.0,,1.0,2.0,,,2.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,
027,1.0,1.0,1.0,2.0,2.0,2.0,,2.0,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,3.0,3.0,1.0,1.0,1.0,7.0,1.0,,,2.0,1.0,2.0,1.0,2.0,,3.0,,1.0,3.0,,,,,,,1.0,,,,1.0,1.0,,2.0,,1.0,,,,2.0,,2.0,,1.0,2.0,1.0,,,2.0,1.0,,4.0,1.0,1.0,3.0,2.0,,,,,1.0,1.0,,,,,,,
002,1.0,1.0,1.0,5.0,,2.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,3.0,,,1.0,,1.0,,,,1.0,,1.0,,1.0,,1.0,2.0,,1.0,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,,1.0,,,1.0,,,,,1.0,,,,,,,,
004,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
037,1.0,1.0,1.0,3.0,2.0,2.0,,1.0,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,3.0,,,,2.0,1.0,,,1.0,,2.0,,1.0,,,,1.0,3.0,,,1.0,,3.0,,,1.0,,1.0,,1.0,,,,3.0,1.0,,,1.0,1.0,1.0,2.0,1.0,,1.0,,,1.0,2.0,,1.0,1.0,,,,1.0,,2.0,2.0,,1.0,,2.0,1.0
051,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,,1.0,1.0,1.0,,1.0,3.0,,,1.0,1.0,2.0,3.0,1.0,,1.0,3.0,2.0,1.0,,2.0,,1.0,1.0,,,3.0,2.0,1.0,1.0,1.0,,3.0,1.0,,,,2.0,1.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,,3.0,,3.0,,,2.0,,3.0,1.0,4.0,1.0,1.0,,,,1.0,2.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,
046,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,3.0,,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,5.0,1.0,,2.0,1.0,1.0,,,,,1.0,,,2.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,1.0,3.0,,,,2.0,1.0
033,1.0,1.0,1.0,2.0,2.0,2.0,,2.0,1.0,,1.0,,,,1.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,2.0,1.0,,3.0,2.0,,3.0,,1.0,1.0,,1.0,,2.0,,,1.0,1.0,1.0,,1.0,2.0,,,2.0,1.0,,,,3.0,,2.0,,1.0,2.0,1.0,2.0,1.0,3.0,1.0,,,2.0,,,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,
080,1.0,1.0,1.0,3.0,2.0,2.0,,,1.0,,1.0,1.0,2.0,,1.0,2.0,2.0,,1.0,3.0,,3.0,1.0,1.0,1.0,4.0,,1.0,,2.0,1.0,,2.0,,,3.0,2.0,,,1.0,,1.0,4.0,,,1.0,1.0,3.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,2.0,1.0,,,,,1.0,1.0,4.0,,,,2.0,,
099,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,,,1.0,,,2.0,3.0,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,2.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,
068,1.0,1.0,1.0,3.0,,2.0,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,1.0,,
038,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,,,,,1.0,,,1.0,,1.0,,,2.0,1.0,,,1.0,,,1.0,,1.0,,1.0,2.0,,2.0,,,,,,1.0,,,,,1.0,,1.0,,,1.0,2.0,,,,2.0,1.0,,,,,1.0,,,2.0,,,,3.0,1.0
009,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,,,,,,1.0,2.0,,,1.0,1.0,1.0,2.0,,1.0,,6.0,3.0,,,5.0,1.0,2.0,,2.0,,3.0,2.0,1.0,2.0,,,1.0,,,,,,,,1.0,2.0,,3.0,2.0,,,,,3.0,,2.0,,1.0,2.0,1.0,2.0,,3.0,1.0,2.0,,1.0,3.0,,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,
070,1.0,1.0,1.0,2.0,3.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,,1.0,7.0,2.0,3.0,,1.0,,6.0,5.0,,,3.0,1.0,1.0,1.0,,,3.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,,1.0,,,,3.0,,3.0,,1.0,2.0,1.0,,,1.0,1.0,,1.0,1.0,,,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,
067,1.0,1.0,1.0,2.0,2.0,2.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,,,4.0,1.0,1.0,,,,3.0,1.0,1.0,4.0,1.0,2.0,,,1.0,,1.0,1.0,1.0,,1.0,2.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,,2.0,1.0,,,1.0,1.0,,2.0,,,,,,
026,1.0,1.0,1.0,2.0,,1.0,1.0,6.0,1.0,,1.0,,,,1.0,,1.0,,1.0,2.0,,3.0,1.0,1.0,1.0,1.0,,,,3.0,1.0,1.0,4.0,3.0,,3.0,2.0,1.0,3.0,,,,,,,,1.0,1.0,,1.0,2.0,,1.0,,,1.0,1.0,,1.0,,1.0,,2.0,2.0,,1.0,1.0,3.0,1.0,3.0,,1.0,,1.0,2.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,
090,1.0,1.0,1.0,1.0,2.0,2.0,,4.0,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0,2.0,,1.0,1.0,1.0,4.0,1.0,1.0,,3.0,1.0,2.0,1.0,,,3.0,3.0,1.0,2.0,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,2.0,,1.0,2.0,1.0,1.0,1.0,,2.0,,1.0,,1.0,2.0,1.0,2.0,,2.0,1.0,1.0,2.0,2.0,1.0,,2.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,
023,1.0,1.0,1.0,3.0,,2.0,1.0,2.0,1.0,,,,,,1.0,,,,1.0,,2.0,,,,,3.0,1.0,,,1.0,,,,,1.0,1.0,2.0,,1.0,,,1.0,,,,,,,,,,,,2.0,,,,,1.0,,1.0,,,,,,,1.0,1.0,,,1.0,2.0,,1.0,,,,,1.0,,1.0,3.0,,,,1.0,1.0
043,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,,,2.0,,1.0,,3.0,1.0,1.0,1.0,4.0,2.0,,,2.0,1.0,2.0,1.0,1.0,,3.0,3.0,,3.0,,,1.0,2.0,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,3.0,1.0,,1.0,2.0,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,
069,1.0,1.0,1.0,,,2.0,,1.0,1.0,,1.0,,,,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,4.0,,,,,,,,1.0,1.0,,,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,8.0,,,,6.0,1.0
078,1.0,1.0,1.0,3.0,1.0,,,,1.0,,1.0,,,,1.0,1.0,,,1.0,3.0,,3.0,1.0,1.0,1.0,5.0,2.0,,,3.0,1.0,,,1.0,,3.0,2.0,,1.0,,,2.0,,,,,,1.0,,1.0,1.0,1.0,2.0,,1.0,,,1.0,3.0,1.0,3.0,,3.0,2.0,1.0,,1.0,6.0,1.0,,,3.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,
006,1.0,1.0,1.0,1.0,2.0,2.0,,3.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,,1.0,,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,,1.0,2.0,,2.0,1.0,1.0,1.0,,,,,,,,2.0,2.0,,1.0,1.0,,,,1.0,1.0,1.0,,2.0,,1.0,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,7.0,,,,,,,1.0,1.0,,,,,,
075,1.0,1.0,1.0,,1.0,2.0,,3.0,1.0,2.0,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,4.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,,2.0,1.0,,,,6.0,2.0,,,1.0,,3.0,,1.0,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,,2.0,1.0,,,,1.0,,1.0,,,,,,,
044,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,5.0,1.0,1.0,3.0,,1.0,3.0,4.0,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,,1.0,1.0,,,,1.0,,2.0,2.0,1.0,,,2.0,1.0,1.0,,1.0,2.0,,2.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,
056,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,3.0,,,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,1.0,,,,,1.0,,2.0,,,,,,
088,1.0,1.0,1.0,1.0,,2.0,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,2.0,,,,3.0,1.0
072,1.0,1.0,1.0,4.0,2.0,2.0,,1.0,1.0,,1.0,,,,1.0,2.0,2.0,,1.0,,,1.0,1.0,1.0,1.0,,2.0,,,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,1.0,,1.0,,1.0,,,1.0,2.0,1.0,,,,2.0,1.0,,,2.0,2.0,,,,,1.0,2.0,,,,2.0,,,,,1.0,,,,6.0,,,,,1.0
087,1.0,1.0,1.0,3.0,3.0,2.0,,,1.0,,1.0,1.0,,,1.0,2.0,2.0,,,2.0,1.0,1.0,,1.0,,1.0,1.0,,,3.0,1.0,,,,,1.0,1.0,,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,
058,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,2.0,,,,2.0,1.0
000,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,3.0,,,,5.0,1.0
007,1.0,1.0,1.0,4.0,1.0,2.0,,3.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,,,4.0,1.0,,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,,3.0,1.0,,,1.0,1.0,1.0,,,2.0,,1.0,3.0,1.0,1.0,1.0,,1.0,,,,1.0,2.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,,1.0,,1.0,,,,,,,
005,1.0,1.0,1.0,4.0,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,2.0,1.0,,1.0,5.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,,2.0,,,3.0,,1.0,,1.0,1.0,1.0,1.0,,,2.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,,1.0,,1.0,,,,,2.0,2.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,
077,1.0,1.0,1.0,4.0,2.0,2.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,,1.0,1.0,,1.0,1.0,3.0,1.0,,3.0,1.0,,1.0,1.0,,1.0,2.0,,,1.0,1.0,1.0,,1.0,2.0,,,,,1.0,,,3.0,2.0,1.0,,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,
079,1.0,1.0,1.0,4.0,,2.0,1.0,3.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,2.0,,,2.0,1.0,1.0,2.0,1.0,,,3.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,,,,2.0,,,,,,1.0,,,,,,1.0,,
062,1.0,1.0,1.0,4.0,1.0,2.0,,1.0,1.0,,1.0,1.0,2.0,,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,,1.0,,3.0,1.0,3.0,1.0,2.0,,3.0,2.0,1.0,1.0,1.0,1.0,,2.0,6.0,,,1.0,3.0,,1.0,2.0,,,,,1.0,1.0,,1.0,,,,,2.0,1.0,3.0,,,1.0,2.0,,1.0,,1.0,2.0,,,,,1.0,1.0,,,,,,,
021,1.0,1.0,1.0,2.0,,2.0,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,1.0,1.0
