,Lettice,Church,The Co-op,The Legend of Public School,Lettice's Aquarium,Spelling Practice,Daydream of Winning,Greek Root Studies,The Homeschooling Newsletter,Discipline,The Family with All the Stuff,Mr. Barron Intervenes,Moodiness,Running Away,Epilogue,Seeking Inspiration,Jam,The State Fair,Dinner Service,Sunday Afternoon,Clipping Coupons,Afrikaans Loan Words,Mrs. Barron Commands,Middle School English,Invitation to the Salon,Arabic Loan Words,Performance Practice,Mirrors,Reflections,Lent,Lessons from Sara,Easter,Isolation,Pentecost,A Confrontation About Practice,Year-end Competition,French Art Words,At the Copy Shop,Ironing,Dinner for Tyler Barron,Co-op Dues,That Other Question,German Loan Words,Overheard,Mother's Temporary Work,That Question,Was It This Way For the Desert Fathers?,Advent,Joining the Circus,The Doll,Halloween,Contributions to Father's Newsletter,Ash Wednesday,A Call to Arms,Hawaiian Loan Words,Heard Rather Than Seen,Crisis,Bowing Out of the Newsletter,Latin Root Studies,Classes at the Co-op,Italian Loan Words,Mother and the Haircut,Zulu Loan Words,Previously Missed Words,Exercises in Reading Between the Lines,Aboriginal Loan Words,Lessons for Lettice,Handwashing,The House of Mildew,Snow Shoveling,Additional Performance Practice,It's All Happening At the Zoo,Snow Day,Worldly Cinema,J E R O M E,Return to the House of Mildew,Birthday Candles,Church Jumble Sale,Mrs. Perry Gossips,Consultation,At the Bookstore,Lawn Mowing,Sibling Rivalry,Orange and Purple Christmas,Choosing the Year's Curriculum,Proofreading,Minding Lettice,Lettice Revolts
057,1.0,1.0,1.0,4.0,,2.0,,2.0,1.0,,1.0,1.0,2.0,,1.0,2.0,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,1.0,1.0,5.0,1.0,1.0,2.0,,1.0,3.0,2.0,1.0,2.0,1.0,,,3.0,,,2.0,2.0,,,,3.0,1.0,3.0,,1.0,1.0,,,3.0,,1.0,1.0,,2.0,1.0,,,,1.0,1.0,,,1.0,2.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,
034,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,5.0,,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,1.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,3.0,,1.0,3.0,1.0,,,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,3.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,
048,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,1.0,2.0,1.0,1.0,3.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,2.0,1.0,2.0,1.0,1.0,,3.0,1.0,1.0,1.0,1.0,,,3.0,,,2.0,,,,1.0,1.0,,2.0,,1.0,,,,3.0,1.0,1.0,,2.0,2.0,1.0,2.0,,,1.0,3.0,2.0,1.0,,,2.0,1.0,1.0,,,1.0,,2.0,,1.0,,,,
049,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,1.0,,2.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,,,1.0,,,,,3.0,,1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,,,2.0,1.0,,,,1.0,1.0,,1.0,,,1.0,,,,1.0,,,2.0,,,,,,
059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,2.0,4.0,1.0,,1.0,3.0,,,4.0,,,1.0,1.0,,1.0,1.0,,2.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,2.0,1.0,,,
063,1.0,1.0,1.0,5.0,2.0,2.0,,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,2.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,,2.0,,,,1.0,,,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,
039,1.0,1.0,1.0,4.0,,2.0,,3.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,6.0,3.0,1.0,1.0,3.0,1.0,,2.0,1.0,,3.0,1.0,1.0,,,,1.0,3.0,,,,1.0,2.0,,1.0,2.0,,,,,1.0,1.0,,3.0,,2.0,,1.0,,1.0,2.0,,1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,
089,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,,2.0,1.0,1.0,2.0,,1.0,,,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,5.0,,1.0,,1.0,1.0,1.0,2.0,,,3.0,2.0,,3.0,1.0,2.0,1.0,2.0,,,1.0,3.0,,,1.0,2.0,,1.0,1.0,,1.0,1.0,,2.0,,2.0,,1.0,2.0,1.0,2.0,1.0,2.0,,2.0,1.0,,,,,,,,1.0,,1.0,2.0,,1.0,,,,
064,1.0,1.0,1.0,2.0,3.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,,1.0,,3.0,1.0,,,7.0,1.0,2.0,1.0,,1.0,3.0,2.0,1.0,,,1.0,2.0,2.0,1.0,,1.0,,2.0,,1.0,1.0,1.0,2.0,2.0,1.0,,,1.0,2.0,2.0,,,,2.0,1.0,2.0,,,1.0,1.0,,2.0,3.0,3.0,,,,,,,1.0,,,,,1.0,,
028,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,,2.0,1.0,,1.0,3.0,,1.0,1.0,,3.0,1.0,,,,,3.0,,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,,,1.0,,2.0,2.0,,1.0,,,1.0,,1.0,,1.0,,,,
065,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,,1.0,,,,1.0,2.0,,,1.0,1.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,1.0,1.0,,,,,,1.0,,,,2.0,,1.0,,1.0,,1.0,,,,,,,,,,,2.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
052,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,5.0,,,,3.0,1.0
041,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,2.0,,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,,,3.0,1.0,2.0,1.0,1.0,,3.0,4.0,1.0,1.0,1.0,,,4.0,,,1.0,,2.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,4.0,,,2.0,,,1.0,,1.0,3.0,1.0,,,,2.0,1.0,1.0,,1.0,1.0,,3.0,,,,,,
003,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,3.0,,1.0,1.0,2.0,,1.0,,,2.0,1.0,1.0,1.0,3.0,,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,,,1.0,,1.0,,1.0,,,1.0,2.0,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,2.0,1.0,3.0,,2.0,2.0,3.0,1.0,,,,,,,2.0,,,1.0,2.0,,
086,1.0,1.0,1.0,2.0,,2.0,1.0,3.0,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,,,,1.0,,,2.0,,,,1.0,,,1.0,,,1.0,2.0,1.0,1.0,,2.0,,,3.0,1.0,1.0,,,,,,,,,,,,1.0,2.0,,,,,2.0,,,,2.0,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,2.0,,
012,1.0,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,3.0,,1.0,1.0,1.0,1.0,3.0,,1.0,,3.0,1.0,,,,,3.0,3.0,1.0,,1.0,,1.0,2.0,,,3.0,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,4.0,,1.0,2.0,1.0,3.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,,,,1.0,2.0,,,1.0,,,
017,1.0,1.0,1.0,3.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,2.0,,1.0,1.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
014,1.0,1.0,1.0,1.0,,2.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,3.0,2.0,,1.0,2.0,,1.0,1.0,1.0,1.0,3.0,3.0,,,3.0,,,1.0,,,2.0,4.0,1.0,1.0,,,2.0,,,,,,,,,,,,,1.0,,,,2.0,,1.0,,,2.0,,2.0,,1.0,1.0,2.0,,,,1.0,1.0,,,,1.0,,,1.0,2.0,,,,3.0,1.0
084,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,2.0,,1.0,1.0,2.0,,1.0,3.0,2.0,,1.0,1.0,1.0,3.0,,,,4.0,1.0,2.0,5.0,2.0,1.0,3.0,3.0,1.0,,1.0,,1.0,2.0,,,,4.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,2.0,,,,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,,1.0,1.0,,2.0,,,,1.0,1.0,1.0,,,,1.0,1.0,,
047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,2.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,2.0,,,1.0,,,,,1.0,,,,,,,,
020,1.0,1.0,1.0,3.0,3.0,2.0,,1.0,1.0,3.0,1.0,1.0,4.0,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,,,4.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,1.0,1.0,,3.0,2.0,1.0,,2.0,1.0,,1.0,1.0,2.0,,2.0,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,2.0,,3.0,,,2.0,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,
011,1.0,1.0,1.0,3.0,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,2.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,2.0,,1.0,,,,,,1.0,,,,,,,,2.0,1.0,1.0,,,,,1.0,,,,,,,1.0,2.0,,,,3.0,1.0
035,1.0,1.0,1.0,3.0,,2.0,1.0,2.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,4.0,,,1.0,,1.0,3.0,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,2.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,5.0,,,,2.0,1.0
