,age,friends-introduced,perry,world,status,let-introduced,lettice,church-introduced,parents,month,barrons,dinner,poverty,motivation,legend,jerome,spelling-relief,housework,spelling,hairdresser,photosynthesis,william-intervention,william,afrikaans,lettice-monster,child-led,genius,warned,zulu,barron-crisis,art-words,previous-missed,hyalithe,psitta,cyan,english,epilogued,lectern,aquarium,hawaiian,newslettering,italian,highest-win,sara,doll,aboriginal,copy-error,birthdaying,lessons,visiting,tyler,wednesday-done,bookstore,minestrone,materials-studied,collage-ready,coupons-offered,projects,isgreek,cosmetics-studied,latin-study,gerbil-studied,ishungarian,pedagogue,not-talking,greekletters,assessments,threats-useless,format-change,isspanish,barrons-card,jerome-texted,isindonesian,topeng-defined
002,9.0,1.0,2.0,1.0,5.0,1.0,-2.0,1.0,10.0,30.0,,1.0,2.0,2.0,2.0,3.0,2.0,,10.0,,1.0,,,,,2.0,,,,,2.0,,,,,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,
010,11.0,1.0,1.0,4.0,5.0,1.0,0.0,1.0,2.0,31.0,6.0,1.0,5.0,2.0,2.0,2.0,12.0,1.0,41.0,30.0,,1.0,1.0,3.0,,,,,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,2.0,,1.0,,1.0,2.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,,,1.0,1.0,,,,,,,,
057,11.0,1.0,3.0,3.0,4.0,1.0,2.0,1.0,0.0,31.0,5.0,1.0,6.0,0.0,1.0,5.0,7.0,1.0,35.0,30.0,1.0,1.0,1.0,3.0,,2.0,,1.0,,2.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,,,1.0,4.0,1.0,3.0,2.0,,,1.0,1.0,,,1.0,1.0,,1.0,,1.0,2.0,,,,3.0,,1.0,1.0,,,,,,1.0,,,,
048,11.0,1.0,6.0,3.0,2.0,1.0,-3.0,1.0,4.0,31.0,4.0,1.0,7.0,1.0,2.0,4.0,9.0,1.0,46.0,45.0,1.0,1.0,1.0,1.0,,2.0,,,2.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,,,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,3.0,1.0,2.0,,1.0,,,,,1.0,,,,
088,9.0,1.0,3.0,3.0,6.0,1.0,14.0,1.0,1.0,26.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,11.0,,1.0,,,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,
069,10.0,1.0,5.0,3.0,9.0,1.0,20.0,1.0,-1.0,26.0,4.0,1.0,3.0,2.0,,3.0,12.0,1.0,30.0,4.0,1.0,,1.0,1.0,,,,,,3.0,1.0,1.0,,,,4.0,1.0,1.0,,1.0,-1.0,,2.0,2.0,,,1.0,,1.0,,,1.0,,,,,,,,,2.0,,,1.0,,1.0,,,,1.0,,,,
064,11.0,1.0,4.0,4.0,9.0,1.0,-6.0,1.0,3.0,31.0,,1.0,8.0,1.0,2.0,1.0,10.0,,38.0,,,,,1.0,1.0,,,1.0,,,2.0,2.0,0.0,0.0,0.0,4.0,1.0,,2.0,1.0,-1.0,,1.0,2.0,1.0,2.0,1.0,,,,,2.0,1.0,1.0,1.0,,,,,1.0,2.0,,,1.0,,,,,1.0,,,,,
045,11.0,1.0,6.0,4.0,5.0,1.0,2.0,1.0,-1.0,31.0,3.0,1.0,4.0,2.0,2.0,4.0,6.0,1.0,47.0,1.0,1.0,,,3.0,,2.0,,,2.0,,1.0,2.0,,,,4.0,1.0,,2.0,1.0,-1.0,1.0,3.0,2.0,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,3.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,,,,
055,11.0,1.0,6.0,3.0,17.0,1.0,-1.0,1.0,-1.0,31.0,5.0,1.0,3.0,2.0,0.0,4.0,8.0,1.0,38.0,3.0,1.0,1.0,1.0,,1.0,,,1.0,,2.0,2.0,2.0,,,,1.0,1.0,1.0,,1.0,2.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,
074,10.0,1.0,6.0,4.0,9.0,1.0,-1.0,1.0,-2.0,27.0,5.0,1.0,4.0,1.0,2.0,3.0,7.0,1.0,52.0,50.0,,,1.0,1.0,1.0,2.0,,,2.0,3.0,3.0,2.0,,,,4.0,1.0,,,1.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,,,,,1.0,1.0,,1.0,,,,,,3.0,1.0,2.0,,,1.0,,,,1.0,,,,
084,11.0,1.0,1.0,3.0,5.0,1.0,-3.0,1.0,1.0,31.0,4.0,1.0,6.0,2.0,1.0,4.0,13.0,1.0,34.0,50.0,,1.0,1.0,,1.0,2.0,,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,,1.0,4.0,,1.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,2.0,,,1.0,,,,,1.0,,,1.0,,
030,10.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,9.0,30.0,3.0,1.0,3.0,2.0,2.0,4.0,9.0,1.0,28.0,4.0,,1.0,1.0,3.0,,2.0,,,,1.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,,1.0,1.0,2.0,2.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
082,10.0,1.0,6.0,3.0,6.0,1.0,-3.0,1.0,2.0,27.0,3.0,1.0,6.0,2.0,,6.0,10.0,1.0,55.0,50.0,1.0,,,3.0,,2.0,,,1.0,1.0,2.0,2.0,,,,4.0,1.0,1.0,,1.0,2.0,2.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,3.0,,,,,1.0,,,,1.0,,,,
083,8.0,1.0,2.0,7.0,2.0,1.0,2.0,1.0,0.0,30.0,1.0,,,2.0,,,2.0,,6.0,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
029,9.0,1.0,4.0,2.0,4.0,1.0,0.0,1.0,9.0,30.0,,1.0,3.0,0.0,,1.0,6.0,,10.0,,1.0,,,,,,,,,,1.0,1.0,,,,4.0,1.0,,3.0,,4.0,,,2.0,1.0,,1.0,,,,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,
034,11.0,1.0,2.0,4.0,8.0,1.0,0.0,1.0,2.0,31.0,5.0,1.0,8.0,0.0,1.0,5.0,9.0,1.0,33.0,30.0,,1.0,1.0,1.0,,2.0,,1.0,1.0,3.0,,2.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,3.0,1.0,,,2.0,1.0,,,,,,,1.0,2.0
008,8.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,9.0,30.0,,,,1.0,,3.0,3.0,,13.0,,,,,,,,,,1.0,,,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
005,11.0,1.0,8.0,3.0,8.0,1.0,4.0,1.0,0.0,31.0,5.0,1.0,4.0,1.0,0.0,3.0,5.0,1.0,38.0,30.0,,1.0,1.0,2.0,1.0,2.0,,,1.0,3.0,,2.0,,,,4.0,1.0,,,1.0,-1.0,3.0,1.0,2.0,,,1.0,1.0,1.0,,1.0,2.0,1.0,,1.0,,,,,,3.0,1.0,,1.0,,,,,,,,,,
058,9.0,1.0,1.0,4.0,5.0,1.0,12.0,1.0,3.0,26.0,3.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,11.0,30.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,4.0,1.0,1.0,1.0,,2.0,1.0,,2.0,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,
021,8.0,1.0,2.0,4.0,0.0,1.0,10.0,1.0,4.0,26.0,1.0,1.0,3.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,
098,11.0,1.0,6.0,3.0,0.0,1.0,-2.0,1.0,2.0,31.0,3.0,1.0,8.0,2.0,1.0,7.0,9.0,,42.0,45.0,1.0,1.0,1.0,,,2.0,,,1.0,1.0,4.0,,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,3.0,,,1.0,1.0,1.0,,,1.0,,,1.0,,
059,10.0,1.0,5.0,3.0,9.0,1.0,0.0,1.0,9.0,30.0,6.0,1.0,6.0,2.0,1.0,,7.0,1.0,41.0,4.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,3.0,4.0,2.0,,,,3.0,1.0,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,
095,10.0,1.0,6.0,4.0,5.0,1.0,-3.0,1.0,3.0,29.0,4.0,1.0,12.0,2.0,,4.0,7.0,,29.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,3.0,3.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,
014,10.0,1.0,7.0,3.0,5.0,1.0,12.0,1.0,-1.0,26.0,3.0,1.0,2.0,2.0,1.0,2.0,7.0,1.0,44.0,50.0,1.0,1.0,1.0,1.0,,,,,,1.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,,,2.0,1.0,,,,,1.0,,,,,,,,1.0,2.0,,,,,,,1.0,,,,,,
052,8.0,1.0,1.0,3.0,3.0,1.0,16.0,1.0,2.0,26.0,,1.0,,,,1.0,2.0,,2.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
024,9.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,9.0,30.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,17.0,50.0,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,2.0,1.0,,,,,,,,
065,9.0,1.0,3.0,9.0,4.0,1.0,-2.0,1.0,3.0,30.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,,15.0,,,,,1.0,1.0,,,,,,1.0,2.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
062,11.0,1.0,4.0,4.0,4.0,1.0,-2.0,1.0,0.0,31.0,6.0,1.0,10.0,2.0,2.0,3.0,13.0,1.0,38.0,45.0,1.0,1.0,1.0,1.0,,2.0,,,,3.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,,2.0,,1.0,2.0,1.0,3.0,1.0,,,,1.0,2.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,
051,10.0,1.0,9.0,4.0,6.0,1.0,-2.0,1.0,4.0,27.0,5.0,1.0,5.0,2.0,1.0,3.0,9.0,1.0,51.0,45.0,,1.0,1.0,3.0,1.0,2.0,,,,3.0,2.0,2.0,0.0,0.0,0.0,,1.0,,2.0,1.0,2.0,3.0,4.0,,1.0,3.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,3.0,,,,1.0,1.0,,,,1.0,,,,
050,8.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,13.0,30.0,1.0,,,2.0,,,3.0,,3.0,,,1.0,1.0,,,,,,,,,,0.0,0.0,0.0,,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
001,10.0,1.0,1.0,3.0,7.0,1.0,1.0,1.0,12.0,30.0,5.0,1.0,4.0,2.0,,3.0,12.0,1.0,23.0,30.0,,1.0,1.0,,1.0,2.0,,,2.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,
026,11.0,1.0,2.0,4.0,5.0,1.0,2.0,1.0,1.0,31.0,4.0,1.0,1.0,0.0,2.0,5.0,14.0,1.0,40.0,50.0,,,1.0,3.0,1.0,2.0,,,2.0,3.0,2.0,2.0,,,,3.0,1.0,1.0,,,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,1.0,,1.0,,
025,10.0,1.0,3.0,2.0,2.0,1.0,4.0,1.0,0.0,29.0,8.0,1.0,12.0,1.0,0.0,3.0,8.0,1.0,23.0,4.0,,,1.0,1.0,1.0,2.0,,1.0,,3.0,1.0,1.0,,,,3.0,1.0,1.0,,,2.0,1.0,2.0,1.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,,2.0,1.0,,,,,,,,,,1.0,1.0,,,
