,age,friends-introduced,perry,poverty,parents,church-introduced,let-introduced,month,dinner,english,world,spelling,photosynthesis,newslettering,copy-error,sara,status,motivation,lettice,minestrone,jerome,spelling-relief,barrons,housework,legend,warned,hyalithe,psitta,cyan,latin-study,art-words,collage-ready,william-intervention,william,not-talking,barron-crisis,cosmetics-studied,highest-win,isspanish,bookstore,child-led,jerome-texted,doll,lettice-monster,topeng-defined,previous-missed,lessons,isindonesian,afrikaans,visiting,gerbil-studied,epilogued,hairdresser,wednesday-done,materials-studied,tyler,barrons-card,lectern,hawaiian,birthdaying,ishungarian,threats-useless,aquarium,greekletters,isgreek,coupons-offered,pedagogue,format-change,assessments,genius,projects
058,9.0,1.0,1.0,1.0,-2.0,1.0,1.0,26.0,1.0,3.0,3.0,4.0,,2.0,,1.0,1.0,2.0,15.0,1.0,1.0,4.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,2.0,,1.0,,,,
021,13.0,1.0,4.0,7.0,12.0,1.0,1.0,30.0,1.0,4.0,30.0,28.0,,4.0,,2.0,9.0,2.0,-1.0,1.0,2.0,59.0,6.0,1.0,,1.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,3.0,1.0,2.0,,,,,,1.0,2.0,2.0,,1.0,,,1.0,1.0,45.0,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,1.0,,,,
098,12.0,1.0,1.0,11.0,6.0,1.0,1.0,29.0,1.0,1.0,10.0,25.0,,2.0,1.0,,6.0,2.0,4.0,1.0,6.0,43.0,4.0,,,,0.0,0.0,0.0,,1.0,,1.0,1.0,,3.0,1.0,2.0,,1.0,2.0,2.0,1.0,1.0,,,1.0,,2.0,,1.0,1.0,,2.0,1.0,1.0,,1.0,,,,,1.0,,3.0,,,,1.0,1.0,
059,15.0,1.0,3.0,11.0,5.0,1.0,1.0,29.0,1.0,4.0,48.0,48.0,1.0,2.0,1.0,2.0,11.0,2.0,3.0,1.0,6.0,61.0,5.0,1.0,,,0.0,0.0,0.0,1.0,3.0,,1.0,1.0,1.0,3.0,,3.0,1.0,,2.0,2.0,1.0,1.0,,2.0,1.0,,2.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,
095,10.0,1.0,1.0,8.0,-1.0,1.0,1.0,26.0,1.0,4.0,4.0,25.0,1.0,2.0,1.0,2.0,6.0,1.0,10.0,1.0,,7.0,5.0,1.0,2.0,,,,,2.0,2.0,,,1.0,,3.0,,1.0,,,,,,1.0,,2.0,1.0,,1.0,,,1.0,50.0,,1.0,,,,,,,,,,,,,,,,
014,8.0,1.0,1.0,1.0,2.0,1.0,1.0,26.0,,,1.0,2.0,,,,,1.0,,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
052,9.0,1.0,1.0,,4.0,1.0,1.0,26.0,,3.0,2.0,7.0,,2.0,1.0,1.0,4.0,2.0,13.0,1.0,2.0,5.0,,,1.0,1.0,0.0,0.0,0.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,
024,12.0,1.0,4.0,17.0,2.0,1.0,1.0,29.0,1.0,4.0,3.0,47.0,,-1.0,,2.0,4.0,1.0,-2.0,1.0,5.0,17.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,,,1.0,3.0,,1.0,2.0,,1.0,1.0,,2.0,1.0,,1.0,1.0,1.0,1.0,45.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,
065,11.0,1.0,1.0,11.0,4.0,1.0,1.0,29.0,,4.0,6.0,30.0,,,,2.0,3.0,2.0,2.0,1.0,2.0,18.0,6.0,1.0,1.0,,,,,2.0,,,,1.0,,3.0,,2.0,1.0,1.0,2.0,,1.0,1.0,,2.0,,,1.0,,1.0,1.0,45.0,,,1.0,1.0,1.0,,,,,,,2.0,,,,,,
062,13.0,1.0,2.0,4.0,6.0,1.0,1.0,26.0,1.0,4.0,29.0,19.0,,-1.0,,2.0,2.0,2.0,13.0,1.0,5.0,52.0,3.0,1.0,,,0.0,0.0,0.0,,2.0,,1.0,1.0,,1.0,,3.0,,,2.0,2.0,1.0,1.0,,2.0,,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,,1.0,1.0,,,
051,12.0,1.0,1.0,5.0,-1.0,1.0,1.0,27.0,1.0,4.0,16.0,46.0,,-1.0,1.0,2.0,9.0,2.0,-9.0,,8.0,33.0,4.0,1.0,2.0,,0.0,0.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,,1.0,2.0,2.0,1.0,1.0,,2.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,2.0,,,1.0,1.0,,1.0,,1.0
050,11.0,1.0,3.0,11.0,5.0,1.0,1.0,29.0,1.0,4.0,1.0,49.0,,2.0,1.0,2.0,4.0,2.0,2.0,1.0,4.0,13.0,5.0,1.0,2.0,,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,,,2.0,,,1.0,,2.0,,,1.0,1.0,1.0,1.0,30.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,1.0
001,13.0,1.0,1.0,11.0,2.0,1.0,1.0,29.0,1.0,4.0,22.0,29.0,1.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,5.0,39.0,6.0,1.0,,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,,3.0,,1.0,,1.0,2.0,,1.0,1.0,,1.0,1.0,,2.0,1.0,,1.0,50.0,2.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,,
026,13.0,1.0,2.0,5.0,2.0,1.0,1.0,27.0,1.0,3.0,36.0,45.0,,2.0,1.0,1.0,4.0,2.0,-3.0,,8.0,42.0,1.0,,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,4.0,,1.0,2.0,2.0,1.0,1.0,,2.0,,,3.0,1.0,1.0,1.0,,2.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,,1.0
025,10.0,1.0,3.0,4.0,4.0,1.0,1.0,26.0,1.0,4.0,4.0,27.0,,1.0,,2.0,4.0,2.0,16.0,,2.0,4.0,3.0,1.0,0.0,,,,,2.0,1.0,,,,,1.0,,2.0,1.0,,2.0,,,,,2.0,,,1.0,,,1.0,50.0,,1.0,,,,,,,,,,,,,,,,
011,13.0,1.0,2.0,7.0,4.0,1.0,1.0,27.0,1.0,4.0,43.0,35.0,,2.0,1.0,2.0,5.0,2.0,1.0,1.0,6.0,55.0,4.0,1.0,,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,,2.0,,,1.0,1.0,1.0,1.0,,2.0,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,
036,11.0,1.0,3.0,2.0,7.0,1.0,1.0,27.0,1.0,3.0,10.0,36.0,1.0,1.0,,1.0,4.0,2.0,-1.0,1.0,7.0,39.0,2.0,1.0,,,,,,1.0,2.0,,1.0,1.0,,1.0,,4.0,,,2.0,2.0,1.0,,,2.0,,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,2.0,,,,,,
087,9.0,1.0,3.0,2.0,4.0,1.0,1.0,26.0,,3.0,1.0,7.0,1.0,2.0,,1.0,3.0,2.0,20.0,,1.0,5.0,2.0,1.0,1.0,,,,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,
093,10.0,1.0,3.0,13.0,5.0,1.0,1.0,29.0,1.0,4.0,4.0,28.0,1.0,-1.0,,2.0,4.0,2.0,-2.0,,2.0,10.0,4.0,1.0,,1.0,,,,2.0,2.0,1.0,1.0,1.0,,1.0,,2.0,,1.0,2.0,,1.0,,,,,,1.0,,,1.0,45.0,,1.0,,1.0,1.0,,,,,2.0,1.0,1.0,,1.0,1.0,,,
089,9.0,1.0,1.0,1.0,12.0,1.0,1.0,30.0,1.0,3.0,4.0,14.0,1.0,2.0,1.0,1.0,5.0,1.0,0.0,,3.0,5.0,4.0,1.0,,1.0,0.0,0.0,0.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,2.0,,1.0,,,,,,,,,1.0,50.0,,1.0,,,,,,,,,1.0,1.0,,,,,,
070,11.0,1.0,2.0,11.0,3.0,1.0,1.0,29.0,1.0,4.0,10.0,21.0,,2.0,1.0,2.0,9.0,2.0,3.0,1.0,4.0,26.0,2.0,,1.0,,0.0,0.0,0.0,2.0,,,1.0,1.0,,1.0,,3.0,,,,,,,,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,
075,12.0,1.0,1.0,4.0,5.0,1.0,1.0,27.0,1.0,1.0,23.0,20.0,1.0,2.0,1.0,,3.0,2.0,-2.0,1.0,6.0,45.0,4.0,1.0,,,0.0,0.0,0.0,2.0,1.0,,1.0,1.0,,,,4.0,,,2.0,2.0,,1.0,,2.0,1.0,,,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,
038,8.0,1.0,3.0,,-2.0,1.0,1.0,26.0,,1.0,1.0,8.0,1.0,1.0,,,2.0,2.0,12.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,
009,12.0,1.0,4.0,11.0,5.0,1.0,1.0,29.0,1.0,3.0,31.0,27.0,1.0,-1.0,,1.0,3.0,2.0,-2.0,,5.0,37.0,5.0,1.0,1.0,,0.0,0.0,0.0,2.0,,,1.0,1.0,,3.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,,,2.0,,,1.0,,1.0,1.0,50.0,1.0,,,,1.0,,,,,,1.0,,,1.0,1.0,1.0,,
013,10.0,1.0,4.0,2.0,-4.0,1.0,1.0,27.0,1.0,4.0,3.0,46.0,,-1.0,,2.0,5.0,0.0,-2.0,1.0,3.0,10.0,2.0,1.0,1.0,,,,,2.0,2.0,1.0,,,,1.0,1.0,4.0,,,2.0,,1.0,1.0,,2.0,,,3.0,,,1.0,,2.0,,,,,1.0,,,,,1.0,,,1.0,1.0,,,
066,15.0,1.0,2.0,4.0,4.0,1.0,1.0,27.0,1.0,4.0,53.0,37.0,,2.0,1.0,2.0,4.0,2.0,1.0,1.0,6.0,84.0,3.0,1.0,,,0.0,0.0,0.0,,2.0,1.0,1.0,1.0,2.0,1.0,,4.0,,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,,1.0,1.0,1.0,,2.0,1.0,1.0,,,,1.0,,,2.0,,,1.0,,,,,
000,9.0,1.0,1.0,,6.0,1.0,1.0,26.0,,1.0,3.0,5.0,,,,,3.0,2.0,21.0,1.0,2.0,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,
033,8.0,1.0,4.0,,-2.0,1.0,1.0,26.0,1.0,4.0,3.0,13.0,1.0,,,2.0,7.0,1.0,10.0,,1.0,5.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
031,9.0,1.0,3.0,1.0,3.0,1.0,1.0,26.0,,3.0,3.0,10.0,,1.0,,1.0,6.0,1.0,13.0,,4.0,5.0,,,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,2.0,,,,,1.0,,,,,,1.0,,2.0,,,,,,,,1.0,1.0,,,,,,,,
097,8.0,1.0,1.0,2.0,0.0,1.0,1.0,26.0,,3.0,3.0,5.0,1.0,2.0,1.0,1.0,3.0,2.0,12.0,,1.0,5.0,2.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,
035,11.0,1.0,2.0,4.0,6.0,1.0,1.0,26.0,1.0,1.0,15.0,19.0,1.0,1.0,,,9.0,2.0,14.0,1.0,1.0,23.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,2.0,,,1.0,3.0,2.0,1.0,,,,,,,1.0,,,,,,,,,
042,10.0,1.0,1.0,6.0,5.0,1.0,1.0,26.0,1.0,4.0,2.0,15.0,,2.0,1.0,2.0,3.0,0.0,14.0,1.0,4.0,9.0,3.0,1.0,0.0,,0.0,0.0,0.0,1.0,,,1.0,1.0,,1.0,,2.0,,,2.0,,1.0,1.0,,1.0,,,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,1.0
022,11.0,1.0,5.0,13.0,3.0,1.0,1.0,29.0,1.0,4.0,4.0,47.0,,-1.0,1.0,2.0,4.0,0.0,2.0,,4.0,14.0,5.0,1.0,1.0,,0.0,0.0,0.0,2.0,1.0,,1.0,1.0,1.0,3.0,,3.0,,1.0,2.0,,1.0,1.0,2.0,2.0,1.0,,3.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,1.0,,,,
071,10.0,1.0,3.0,3.0,1.0,1.0,1.0,26.0,1.0,1.0,4.0,30.0,,4.0,1.0,,3.0,1.0,10.0,1.0,1.0,5.0,2.0,,2.0,,,,,1.0,,,,,,1.0,,2.0,,,,,,,,1.0,,,2.0,,,1.0,45.0,2.0,1.0,,,,1.0,,,1.0,,,1.0,,1.0,1.0,,,
073,11.0,1.0,2.0,2.0,5.0,1.0,1.0,27.0,1.0,4.0,32.0,25.0,,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,25.0,3.0,1.0,2.0,,0.0,0.0,0.0,,4.0,1.0,1.0,1.0,1.0,1.0,,4.0,1.0,,,,,1.0,,2.0,,,,,1.0,1.0,,2.0,,1.0,,1.0,,,,,,,1.0,,,,,,
